CROSS,W14,RSI,MDI,PDI,NATR,AROON,ACTION
1.0,-8.770257387988567,73.42790888009822,13.064921944989806,27.204887253874148,12.996178551101718,85.71428571428572,0.0
1.0,-6.349206349206338,77.1676899912544,11.565141265523113,30.791510051086092,12.011028653885797,92.85714285714286,0.0
1.0,-8.545830461750526,80.87276728781427,10.086737961935457,36.6817405881816,11.099460029991183,100.0,0.0
1.0,-2.6905829596412794,82.88743565079055,8.643779201364822,34.46622769952097,11.010047112712671,92.85714285714286,0.0
1.0,-15.373831775700927,85.56521530806113,7.0922146014912215,42.91722642421373,10.964889282547695,100.0,0.0
1.0,-17.86588350465002,83.94339106041173,8.382986217539372,35.870293454642685,12.27182571494426,92.85714285714286,0.0
1.0,-42.4257932446264,66.45868140014082,7.834016599893039,30.99026375435604,15.821373947752507,85.71428571428572,0.0
1.0,-38.331627430910956,67.70758559015732,9.308797060564302,28.76022042873073,15.263851949307199,64.28571428571429,0.0
1.0,-10.849539406345956,74.5561655913597,8.20943418613779,34.366312419786965,13.046822000560839,64.28571428571429,0.0
1.0,-23.07692307692308,68.81927486886235,7.606756048256368,32.616149808030144,14.005250615290176,64.28571428571429,0.0
1.0,-24.51093210586884,68.29950430316235,9.997446480052023,30.633996050790138,13.923168889109284,57.14285714285714,0.0
1.0,-4.6629498226051895,74.94522852263555,8.661401481205083,37.26037170673282,12.20697412982908,100.0,0.0
1.0,-4.2735042735042486,77.98496953722372,7.901242904508092,40.56359405347006,11.177787180067961,92.85714285714286,0.0
1.0,-30.44240035041611,64.10350956652888,15.382687615950621,34.0651268000352,14.756237655112116,92.85714285714286,0.0
1.0,-30.479960415635823,64.99446457175415,14.47847855908374,32.06274614036613,14.177306834206648,85.71428571428572,0.0
1.0,-35.8726549175668,64.66627071384964,13.769940254626615,32.88168837597188,13.901463380981054,78.57142857142857,0.0
1.0,-62.98850574712644,55.3375813945415,21.740058183158613,29.471100017978298,16.935460175034198,71.42857142857143,0.0
1.0,-64.97915425848721,55.412065208344835,25.995062703576256,26.5182382196687,17.426572229820312,64.28571428571429,0.0
0.0,-69.38653960690887,53.977311627705525,24.465814195866066,26.09014110103773,17.682078811813494,-35.714285714285715,0.0
0.0,-74.9851101846337,52.13081584717328,24.335213435601826,24.57141920185788,18.0910851493117,-35.714285714285715,0.0
0.0,-49.55330553901132,58.99323557262414,22.512335782963,26.854759936072693,15.465178254400703,-35.714285714285715,0.0
0.0,-60.750446694460976,55.23851272018975,21.64493010771594,25.820039620929943,15.971551650349744,-35.714285714285715,0.0
1.0,-44.13341274568197,59.37127047034613,20.538160552412414,26.01672908509739,14.161067062947199,-35.714285714285715,0.0
1.0,-61.88207266229897,53.67127990361936,20.813485172522427,24.16282034592518,15.724826667734748,-35.714285714285715,0.0
0.0,-69.20786182251338,51.4746119874775,21.166003178230852,23.14310956308062,15.973902151529074,-35.714285714285715,0.0
0.0,-63.60929124478857,53.05589971478402,20.52469971581933,22.44190224638526,14.751565991891509,-35.714285714285715,0.0
0.0,-75.88522588522589,49.09672229411797,22.655108520677462,21.11019606152565,15.847847441251805,-35.714285714285715,0.0
0.0,-43.236903831118056,54.678064542996474,21.060332236446605,22.305835543777786,13.931272465526412,-28.57142857142857,0.0
1.0,-38.31118060985146,55.67426355220697,20.158770623851574,22.61793434137229,13.211050021641865,-14.285714285714285,0.0
1.0,-21.564885496183162,56.21713858995314,19.389161392629067,23.00713624190391,12.605022960336411,-14.285714285714285,0.0
1.0,-28.90052356020947,53.17778692101861,19.919668738856565,21.98552367153253,12.889872625019985,-7.142857142857142,0.0
1.0,-28.59195402298857,54.601088807211845,19.3607582360498,21.368648950832146,11.974204403205135,42.85714285714286,0.0
1.0,-34.77011494252879,53.62082937741639,19.36572317285775,20.901008023731755,11.544092911737266,28.57142857142857,0.0
1.0,-37.82945736434114,53.57265355830766,19.09661139729464,20.610561479075546,10.877845058814822,28.57142857142857,0.0
0.0,-53.333333333333385,51.100500140704824,21.099296190515933,19.87220806105216,10.86958050054296,-21.42857142857143,0.0
0.0,-84.18604651162791,46.50175478800457,25.52656848188459,18.462491426281666,11.741880418633714,-21.42857142857143,0.0
0.0,-69.76744186046514,48.81984515495432,24.36406241520361,17.62169066199839,11.004287528611002,-21.42857142857143,0.0
0.0,-92.05298013245036,45.2128037791016,24.803579987518557,16.571525066334008,11.58716585738126,-100.0,0.0
0.0,-89.30635838150287,43.85221917878143,25.757001458066448,15.658339473789036,11.688520544405465,-64.28571428571429,0.0
0.0,-91.21951219512195,41.061986544350425,27.105636327730068,14.440542401782999,12.462920060353243,-71.42857142857143,0.0
0.0,-71.93575655114121,38.94749051576972,33.13723688940762,12.814367865737806,13.678961483275742,-78.57142857142857,0.0
0.0,-75.06339814032124,38.186763307581856,31.06909033474333,12.014603213054954,13.789121880402053,-78.57142857142857,0.0
0.0,-92.58675078864356,32.84623673395787,33.33639965507184,10.88867340495386,16.40864051663332,-92.85714285714286,0.0
0.0,-80.88000000000002,36.83767343293168,30.668971211073675,9.821790081134727,15.815227480942918,-100.0,0.0
0.0,-72.41666666666669,39.792297366214825,29.13556592505459,9.943442241947457,14.739112326008339,-92.85714285714286,0.0
0.0,-76.3731473408893,38.52653508121343,28.225809450612683,9.555053950880891,14.686411829095439,-85.71428571428572,0.0
0.0,-69.33216168717047,41.14741265100411,27.148228713680943,9.18138434662865,13.6376674983206,-78.57142857142857,0.0
0.0,-50.71684587813621,47.37394174459681,25.04569673296188,15.197984537053316,12.470846275287585,-71.42857142857143,0.0
