"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12, 2019","0.002254","0.002231","0.002330","0.002200","30.15K","1.03%"
"Feb 11, 2019","0.002231","0.002148","0.002283","0.002110","23.69K","3.85%"
"Feb 10, 2019","0.002148","0.002094","0.002217","0.002062","19.49K","2.60%"
"Feb 09, 2019","0.002094","0.002069","0.002104","0.002048","13.64K","1.23%"
"Feb 08, 2019","0.002069","0.002042","0.002126","0.002013","13.27K","1.75%"
"Feb 07, 2019","0.002033","0.002012","0.002050","0.002000","5.74K","1.02%"
"Feb 06, 2019","0.002012","0.002021","0.002029","0.001981","8.37K","-0.43%"
"Feb 05, 2019","0.002021","0.002034","0.002054","0.002000","7.43K","-0.66%"
"Feb 04, 2019","0.002034","0.002020","0.002075","0.002018","6.74K","0.71%"
"Feb 03, 2019","0.002020","0.002066","0.002072","0.002018","3.99K","-2.21%"
"Feb 02, 2019","0.002066","0.002005","0.002068","0.001986","7.91K","3.01%"
"Feb 01, 2019","0.002005","0.001995","0.002012","0.001972","5.58K","0.51%"
"Jan 31, 2019","0.001995","0.002043","0.002054","0.001980","19.55K","-2.36%"
"Jan 30, 2019","0.002043","0.002033","0.002050","0.001988","8.60K","0.49%"
"Jan 29, 2019","0.002033","0.002019","0.002085","0.001989","21.06K","0.72%"
"Jan 28, 2019","0.002019","0.002070","0.002075","0.001976","20.72K","-2.50%"
"Jan 27, 2019","0.002070","0.002086","0.002120","0.002040","9.11K","-0.75%"
"Jan 26, 2019","0.002086","0.002111","0.002115","0.002075","4.70K","-1.18%"
"Jan 25, 2019","0.002111","0.002135","0.002139","0.002088","6.37K","-1.11%"
"Jan 24, 2019","0.002135","0.002092","0.002142","0.002081","9.63K","2.02%"
"Jan 23, 2019","0.002092","0.002132","0.002138","0.002083","13.95K","-1.84%"
"Jan 22, 2019","0.002132","0.002107","0.002155","0.002057","13.65K","1.78%"
"Jan 21, 2019","0.002094","0.002110","0.002123","0.002074","12.80K","-0.74%"
"Jan 20, 2019","0.002110","0.002155","0.002192","0.002061","19.19K","-2.09%"
"Jan 19, 2019","0.002155","0.002094","0.002233","0.002086","14.24K","2.89%"
"Jan 18, 2019","0.002094","0.002126","0.002133","0.002061","10.67K","-1.47%"
"Jan 17, 2019","0.002126","0.002111","0.002139","0.002067","17.50K","0.72%"
"Jan 16, 2019","0.002111","0.002084","0.002151","0.002067","15.43K","1.27%"
"Jan 15, 2019","0.002084","0.002144","0.002160","0.002050","12.43K","-2.81%"
"Jan 14, 2019","0.002144","0.002009","0.002164","0.002006","24.38K","6.75%"
"Jan 13, 2019","0.002009","0.002114","0.002131","0.001985","23.92K","-4.96%"
"Jan 12, 2019","0.002114","0.002145","0.002162","0.002096","9.85K","-1.47%"
"Jan 11, 2019","0.002145","0.002164","0.002193","0.002120","23.96K","-0.89%"
"Jan 10, 2019","0.002164","0.002277","0.002351","0.002084","65.62K","-4.94%"
"Jan 09, 2019","0.002277","0.002264","0.002410","0.002248","57.94K","0.56%"
"Jan 08, 2019","0.002264","0.002107","0.002298","0.002073","36.13K","7.47%"
"Jan 07, 2019","0.002107","0.002119","0.002211","0.002068","30.97K","-0.57%"
"Jan 06, 2019","0.002119","0.002051","0.002200","0.002002","33.12K","3.33%"
"Jan 05, 2019","0.002051","0.001973","0.002058","0.001970","15.58K","4.28%"
"Jan 04, 2019","0.001966","0.001998","0.002013","0.001960","8.37K","-1.88%"
"Jan 03, 2019","0.002004","0.002052","0.002057","0.001970","15.38K","-2.36%"
"Jan 02, 2019","0.002052","0.002042","0.002070","0.002010","12.78K","1.03%"
"Jan 01, 2019","0.002032","0.002007","0.002047","0.001982","18.24K","1.21%"
"Dec 31, 2018","0.002007","0.002100","0.002103","0.001973","30.37K","-4.43%"
"Dec 30, 2018","0.002100","0.002081","0.002130","0.002048","17.89K","0.91%"
"Dec 29, 2018","0.002081","0.002023","0.002105","0.001970","34.18K","2.86%"
"Dec 28, 2018","0.002023","0.001900","0.002059","0.001866","33.36K","6.50%"
"Dec 27, 2018","0.001900","0.002034","0.002034","0.001886","23.49K","-6.77%"
"Dec 26, 2018","0.002038","0.002014","0.002078","0.001940","20.81K","1.21%"
"Dec 25, 2018","0.002014","0.002080","0.002080","0.001905","42.73K","-3.21%"
"Dec 24, 2018","0.002080","0.001927","0.002150","0.001918","79.45K","7.97%"
"Dec 23, 2018","0.001927","0.001765","0.001983","0.001758","57.86K","9.16%"
"Dec 22, 2018","0.001765","0.001771","0.001790","0.001744","22.22K","-0.33%"
"Dec 21, 2018","0.001771","0.001772","0.001825","0.001717","45.23K","-0.06%"
"Dec 20, 2018","0.001772","0.001770","0.001832","0.001730","34.62K","-0.53%"
"Dec 19, 2018","0.001781","0.001854","0.001891","0.001774","45.26K","-3.90%"
"Dec 18, 2018","0.001854","0.001846","0.001866","0.001801","23.48K","0.40%"
"Dec 17, 2018","0.001846","0.001760","0.001876","0.001760","23.37K","4.90%"
"Dec 16, 2018","0.001760","0.001736","0.001828","0.001735","18.32K","1.40%"
"Dec 15, 2018","0.001736","0.001740","0.001753","0.001713","21.39K","-0.22%"
"Dec 14, 2018","0.001740","0.001734","0.001757","0.001700","14.32K","0.34%"
"Dec 13, 2018","0.001734","0.001741","0.001765","0.001701","31.19K","-0.44%"
"Dec 12, 2018","0.001741","0.001728","0.001810","0.001721","12.96K","1.43%"
"Dec 11, 2018","0.001717","0.001760","0.001789","0.001702","12.51K","-2.45%"
"Dec 10, 2018","0.001760","0.001771","0.001785","0.001730","11.27K","-0.61%"
"Dec 09, 2018","0.001771","0.001745","0.001870","0.001732","16.53K","1.47%"
"Dec 08, 2018","0.001745","0.001780","0.001890","0.001706","18.66K","-1.96%"
"Dec 07, 2018","0.001780","0.001717","0.001832","0.001673","41.36K","3.70%"
"Dec 06, 2018","0.001717","0.001858","0.001890","0.001701","27.49K","-7.71%"
"Dec 05, 2018","0.001860","0.001919","0.001931","0.001849","26.32K","-3.07%"
"Dec 04, 2018","0.001919","0.001898","0.001953","0.001862","17.94K","1.11%"
"Dec 03, 2018","0.001898","0.001917","0.001952","0.001880","19.05K","-0.99%"
"Dec 02, 2018","0.001917","0.001951","0.001975","0.001908","11.13K","-1.75%"
"Dec 01, 2018","0.001951","0.001925","0.001970","0.001895","11.54K","1.32%"
"Nov 30, 2018","0.001925","0.001971","0.001988","0.001900","16.63K","-2.34%"
"Nov 29, 2018","0.001971","0.001973","0.002020","0.001930","25.60K","-0.06%"
"Nov 28, 2018","0.001973","0.001888","0.002004","0.001886","41.60K","4.49%"
"Nov 27, 2018","0.001888","0.001893","0.001906","0.001834","22.74K","-0.28%"
"Nov 26, 2018","0.001893","0.001910","0.001929","0.001868","27.83K","-0.91%"
"Nov 25, 2018","0.001910","0.001936","0.001956","0.001872","39.74K","-1.33%"
"Nov 24, 2018","0.001936","0.001972","0.002004","0.001910","24.38K","-1.79%"
"Nov 23, 2018","0.001972","0.001930","0.001998","0.001890","20.01K","2.15%"
"Nov 22, 2018","0.001930","0.001997","0.002021","0.001930","22.72K","-3.37%"
"Nov 21, 2018","0.001997","0.001996","0.002040","0.001944","23.69K","0.07%"
"Nov 20, 2018","0.001996","0.002081","0.002104","0.001860","86.06K","-4.50%"
"Nov 19, 2018","0.002090","0.002237","0.002243","0.002006","75.43K","-6.59%"
"Nov 18, 2018","0.002237","0.002230","0.002262","0.002217","8.19K","0.33%"
"Nov 17, 2018","0.002230","0.002275","0.002276","0.002227","12.31K","-1.98%"
"Nov 16, 2018","0.002275","0.002313","0.002321","0.002264","10.27K","-1.65%"
"Nov 15, 2018","0.002313","0.002366","0.002372","0.002260","22.33K","-2.23%"
"Nov 14, 2018","0.002366","0.002402","0.002415","0.002174","53.00K","-1.52%"
"Nov 13, 2018","0.002402","0.002460","0.002473","0.002402","15.01K","-2.33%"
"Nov 12, 2018","0.002460","0.002511","0.002517","0.002435","10.23K","-2.01%"
"Nov 11, 2018","0.002510","0.002482","0.002510","0.002440","7.22K","0.85%"
"Nov 10, 2018","0.002489","0.002487","0.002540","0.002482","8.84K","0.08%"
"Nov 09, 2018","0.002487","0.002529","0.002547","0.002482","7.84K","-1.67%"
"Nov 08, 2018","0.002529","0.002567","0.002575","0.002515","11.10K","-1.47%"
"Nov 07, 2018","0.002567","0.002635","0.002686","0.002537","19.93K","-2.57%"
"Nov 06, 2018","0.002635","0.002546","0.002650","0.002530","17.54K","4.13%"
"Nov 05, 2018","0.002530","0.002610","0.002610","0.002530","10.18K","-3.08%"
"Nov 04, 2018","0.002610","0.002510","0.002651","0.002481","22.49K","4.00%"
"Nov 03, 2018","0.002510","0.002544","0.002544","0.002481","11.24K","-1.33%"
"Nov 02, 2018","0.002544","0.002458","0.002544","0.002458","12.14K","3.50%"
"Nov 01, 2018","0.002458","0.002427","0.002484","0.002407","8.41K","1.25%"
"Oct 31, 2018","0.002427","0.002404","0.002438","0.002340","12.57K","1.12%"
"Oct 30, 2018","0.002401","0.002443","0.002446","0.002392","18.83K","-1.79%"
"Oct 29, 2018","0.002444","0.002492","0.002513","0.002375","18.37K","-1.90%"
"Oct 28, 2018","0.002492","0.002489","0.002514","0.002474","7.92K","0.08%"
"Oct 27, 2018","0.002489","0.002503","0.002522","0.002473","8.23K","-0.52%"
"Oct 26, 2018","0.002503","0.002561","0.002563","0.002470","9.13K","-2.27%"
"Oct 25, 2018","0.002561","0.002582","0.002582","0.002542","6.08K","-0.83%"
"Oct 24, 2018","0.002582","0.002564","0.002592","0.002536","8.77K","0.72%"
"Oct 23, 2018","0.002564","0.002583","0.002598","0.002544","10.74K","-0.76%"
"Oct 22, 2018","0.002583","0.002540","0.002637","0.002528","13.70K","1.70%"
"Oct 21, 2018","0.002540","0.002557","0.002587","0.002540","10.78K","-0.67%"
"Oct 20, 2018","0.002557","0.002569","0.002594","0.002544","6.20K","-0.47%"
"Oct 19, 2018","0.002569","0.002560","0.002573","0.002516","10.30K","0.36%"
"Oct 18, 2018","0.002560","0.002555","0.002695","0.002530","54.02K","0.20%"
"Oct 17, 2018","0.002555","0.002500","0.002570","0.002489","17.49K","2.20%"
"Oct 16, 2018","0.002500","0.002460","0.002500","0.002436","13.59K","1.21%"
"Oct 15, 2018","0.002470","0.002500","0.002538","0.002400","21.03K","-1.20%"
"Oct 14, 2018","0.002500","0.002530","0.002577","0.002477","9.47K","-1.18%"
"Oct 13, 2018","0.002530","0.002505","0.002550","0.002503","4.78K","0.98%"
"Oct 12, 2018","0.002505","0.002480","0.002564","0.002454","14.20K","1.02%"
"Oct 11, 2018","0.002480","0.002768","0.002768","0.002480","34.66K","-10.40%"
"Oct 10, 2018","0.002768","0.002762","0.002770","0.002732","7.98K","0.48%"
"Oct 09, 2018","0.002755","0.002793","0.002793","0.002715","11.69K","-1.38%"
"Oct 08, 2018","0.002793","0.002758","0.002815","0.002736","13.74K","1.94%"
"Oct 07, 2018","0.002740","0.002722","0.002772","0.002722","7.10K","0.67%"
"Oct 06, 2018","0.002722","0.002748","0.002804","0.002700","15.54K","-0.95%"
"Oct 05, 2018","0.002748","0.002731","0.002751","0.002712","8.17K","0.43%"
"Oct 04, 2018","0.002736","0.002757","0.002790","0.002736","8.28K","-0.76%"
"Oct 03, 2018","0.002757","0.002820","0.002835","0.002731","18.40K","-2.23%"
"Oct 02, 2018","0.002820","0.002817","0.002850","0.002783","17.34K","0.11%"
"Oct 01, 2018","0.002817","0.002852","0.002885","0.002800","16.08K","-1.21%"
"Sep 30, 2018","0.002852","0.002913","0.002913","0.002818","20.71K","-2.12%"
"Sep 29, 2018","0.002913","0.002895","0.002936","0.002828","20.05K","0.63%"
"Sep 28, 2018","0.002895","0.002840","0.003140","0.002830","94.37K","1.94%"
"Sep 27, 2018","0.002840","0.002744","0.002911","0.002716","26.23K","3.48%"
"Sep 26, 2018","0.002744","0.002812","0.002837","0.002720","24.22K","-2.68%"
"Sep 25, 2018","0.002820","0.002812","0.002820","0.002689","22.32K","0.28%"
"Sep 24, 2018","0.002812","0.002926","0.002939","0.002750","26.14K","-3.90%"
"Sep 23, 2018","0.002926","0.002814","0.003068","0.002783","30.50K","3.94%"
"Sep 22, 2018","0.002815","0.002924","0.002973","0.002762","19.34K","-3.74%"
"Sep 21, 2018","0.002924","0.002807","0.003000","0.002740","89.68K","4.18%"
"Sep 20, 2018","0.002807","0.002673","0.002843","0.002663","33.06K","5.03%"
"Sep 19, 2018","0.002673","0.002668","0.002737","0.002630","22.53K","0.48%"
"Sep 18, 2018","0.002660","0.002640","0.002730","0.002620","13.68K","0.78%"
"Sep 17, 2018","0.002640","0.002763","0.002796","0.002610","18.95K","-4.47%"
"Sep 16, 2018","0.002763","0.002760","0.002784","0.002699","17.32K","-0.30%"
"Sep 15, 2018","0.002771","0.002732","0.002816","0.002730","7.95K","1.30%"
"Sep 14, 2018","0.002736","0.002809","0.002855","0.002730","18.79K","-2.58%"
"Sep 13, 2018","0.002808","0.002770","0.002880","0.002741","18.62K","1.38%"
