,CROSS,W14,RSI,MDI,PDI,NATR,AROON,ACTION
0,0.0,-26.086956521739136,36.66666666666667,34.22053231939163,11.582334015794094,11.799276672694397,-50.0,0.0
1,0.0,-32.18390804597702,33.101851851851855,34.28370583248909,10.64362065044349,12.577044240514997,-42.85714285714286,0.0
2,0.0,-23.809523809523807,36.779223693067095,34.58863533954194,9.63452327652107,12.412678429442275,-35.714285714285715,0.0
3,0.0,-27.380952380952394,35.51767529458825,32.001930316991036,9.307611483746761,12.653823186255176,50.0,0.0
4,0.0,-28.571428571428573,35.08566460357325,30.700588856157225,8.92912241745748,12.30450234029472,50.0,0.0
5,0.0,-20.238095238095244,40.53788079913439,27.56232813245591,14.700088474367304,12.099080784155916,85.71428571428572,0.0
6,0.0,-23.809523809523807,39.02507192420913,26.354690593776326,13.242312368858066,12.659658571642963,85.71428571428572,0.0
7,0.0,-52.38095238095238,38.00676807054904,25.018738239010613,12.571042929030273,12.520975780276883,85.71428571428572,0.0
8,1.0,-16.666666666666657,48.79790807052152,23.260544380886262,14.810948804641233,11.352201942612114,21.42857142857143,0.0
9,1.0,-4.3478260869564815,53.97464536158188,21.79439464361136,17.02897162131371,10.651635721351825,50.0,0.0
10,1.0,-29.48717948717946,59.38020878029294,17.550319727367235,24.645224623699605,11.48622709337394,57.142857142857146,0.0
11,1.0,-34.6153846153846,56.769198535742895,15.96445573075819,22.41825810535624,11.952778323181908,57.142857142857146,0.0
12,1.0,-30.76923076923076,58.251886156041564,15.302621963177518,21.488870942104718,11.380821670833242,57.142857142857146,0.0
13,1.0,-19.230769230769216,62.41636874663652,13.539548284658414,23.292426640001416,11.362207619075011,57.142857142857146,0.0
14,1.0,-30.76923076923076,56.36166762817282,12.64313935964486,21.750311741753354,11.82918445251734,57.142857142857146,0.0
15,1.0,-4.494382022471915,67.90899340635312,11.134727697139231,26.062585047065035,10.665888086302479,92.85714285714286,0.0
16,1.0,-22.42990654205606,69.04713705279133,9.866977264489794,30.286091556394602,10.95296389510643,100.0,0.0
17,1.0,-40.59405940594059,59.40429223162636,10.926893659547678,27.291972312725864,12.208636299243967,92.85714285714286,0.0
18,1.0,-37.62376237623761,60.453883855601646,11.69109159899328,24.32173720773207,12.518048124773982,71.42857142857143,0.0
