,CROSS,W14,RSI,MDI,PDI,NATR,AROON,ACTION
0,1.0,-56.76429567642959,36.83839096683134,16.192354879838344,19.264355649642766,11.66300366300366,-14.285714285714286,0.0
1,1.0,-36.66666666666661,36.67116995406647,15.415200804733981,18.339760517651126,11.374086671705715,-7.142857142857143,0.0
2,1.0,-16.453382084095068,57.94783607199935,11.87067615662077,35.45565397878379,10.240766314880169,100.0,0.0
3,1.0,-9.042954031650362,64.07982378263381,10.149296785084111,36.45738784965446,9.908986123404958,85.71428571428572,0.0
4,1.0,-27.653783342406104,66.28437901419615,8.027309335710866,40.28818948842463,11.05605154431898,92.85714285714286,0.0
5,1.0,-23.241418120427692,67.93469229669645,7.174878916870159,35.58113730555,11.219777858929552,92.85714285714286,0.0
6,1.0,-56.84389140271494,51.13689398051549,10.449761273301576,30.27469583019893,15.09437373887316,85.71428571428572,0.0
7,1.0,-38.73034362259756,57.61845259631237,9.507882658664569,27.54591688287899,13.517314152044094,78.57142857142857,0.0
8,1.0,-32.03125,59.84541663870612,8.047048581776188,29.02942361279033,14.11583060347755,71.42857142857143,0.0
9,1.0,-55.13447432762838,51.671591349638526,7.028326869401004,25.35442353896713,17.104729660606292,64.28571428571429,0.0
10,1.0,-52.735095267363256,52.50461411465649,6.742986582290097,24.325069237926066,16.266344425047862,57.142857142857146,0.0
11,1.0,-42.286416717885686,55.68299339955735,6.223805587826884,26.099308318031326,15.350671323785367,21.42857142857143,0.0
12,1.0,-31.223110018438852,58.824926618261266,5.8027918933493705,26.26653662656191,14.349579007329513,21.42857142857143,0.0
13,1.0,-47.81807006760909,52.78023944179825,5.410608997350834,24.49130729016901,15.698542191458758,21.42857142857143,0.0
14,1.0,-44.560540872771995,53.78416164755614,6.298861214547748,23.496231802582525,14.894773832922084,21.42857142857143,0.0
15,1.0,-47.41267787839587,53.59892319449634,6.088952374221394,23.409016875909668,14.34289295578762,21.42857142857143,0.0
16,1.0,-22.212618841832303,61.98776170760267,5.310852978696695,26.471663543339474,12.998866145190203,14.285714285714286,0.0
17,1.0,-59.11840968020742,52.771066024417166,4.795665555759982,23.953915090852828,15.385963284502346,-14.285714285714286,0.0
18,1.0,-28.903654485049856,55.58578351230776,4.465119080429055,22.302865385322875,14.462282774654739,-14.285714285714286,0.0
19,1.0,-7.284299858557297,64.5838981657184,3.873919869187121,28.657325112120162,12.619690259622478,92.85714285714286,0.0
20,1.0,-17.16826265389876,62.68273679391877,3.5763963280445155,27.313208332155853,13.0175875504586,100.0,0.0
21,1.0,-37.072503419972634,57.026042790857,4.808610431908365,25.320883436056178,14.195659844240735,85.71428571428572,0.0
