,CROSS,W14,RSI,MDI,PDI,NATR,AROON,ACTION
0,1.0,-37.70491803278681,54.629629629629584,9.420715299183023,16.155389206908264,2.8408266860043523,35.714285714285715,0.0
1,1.0,-39.344262295081826,54.03099561678144,10.123573310691173,15.06106738990844,2.8200606799263555,35.714285714285715,0.0
2,1.0,-46.4634146341464,50.963744576452086,18.332115649654135,11.553081864573489,3.3847990075755536,0.0,0.0
3,0.0,-45.000000000000085,51.659115769889944,17.425928853484535,10.981993920289192,3.2932727504517976,0.0,0.0
4,1.0,-36.585365853658466,55.56134543985248,16.321935849497834,11.400798263388898,3.2266279006712852,0.0,0.0
5,1.0,-44.146341463414714,51.53571567788852,15.302090018897585,12.405986645266712,3.2121412659838615,0.0,0.0
6,0.0,-45.73170731707314,50.70613631033923,15.135551586915193,11.923086322818177,3.1035866924341367,0.0,0.0
7,1.0,-39.39024390243901,53.90260661343744,14.57740860914468,11.864885997188358,2.9680657636868863,0.0,0.0
8,1.0,-33.2926829268293,56.803161706639315,13.406979703320665,13.746033099496618,2.968452326292606,0.0,0.0
9,0.0,-47.5609756097562,49.028926506855846,12.635751679332193,12.955301243433679,2.962337485611665,0.0,0.0
10,1.0,-23.658536585365784,59.12211672618024,11.201623586805018,17.342848134160867,3.0152932168208864,0.0,0.0
11,1.0,-30.365853658536654,55.783970173136865,13.748292084872954,15.15226897428671,3.2145613976704124,0.0,0.0
12,1.0,-31.951219512195294,54.993595731907284,14.317514038667776,13.123671450152486,3.4397537140284253,0.0,0.0
13,1.0,-37.198067632850126,52.645531825492,12.51965874539941,14.955387779213977,3.6596920864868823,78.57142857142857,0.0
14,1.0,-32.24637681159417,54.88381538417979,11.948610842992629,14.273241165262668,3.539050293073946,78.57142857142857,0.0
15,1.0,-38.64734299516916,51.4953807587792,11.700762587470823,13.56525986139497,3.4776765693359053,78.57142857142857,0.0
16,1.0,-46.39498432601874,52.91305163343431,12.08421405019821,12.965276694176147,3.3657271606057813,78.57142857142857,0.0
17,0.0,-70.53291536050159,44.02194691084813,16.51493318111599,11.764948210684738,3.5068430084269533,-28.571428571428573,0.0
18,0.0,-78.05642633228847,41.6715676063557,15.728589231120715,11.204770597731507,3.4378279115424486,-28.571428571428573,0.0
19,0.0,-68.6520376175549,45.58268216789604,16.67131393290444,10.53422617627394,3.366183963724028,-28.571428571428573,0.0
20,0.0,-63.322884012539056,47.7218875429734,16.104318103538564,10.175954336898672,3.220127427104818,-28.571428571428573,0.0
21,0.0,-74.60815047021958,43.79558348727196,16.554573662423767,9.711727830169838,3.1602280664274467,-28.571428571428573,0.0
22,0.0,-72.57053291536052,44.68057581529113,15.99333139692484,9.382475489368964,3.03101986834844,-28.571428571428573,0.0
23,0.0,-77.42946708463948,42.944073661590856,15.494477870164877,9.08982345387681,2.915647204013693,-28.571428571428573,0.0
24,0.0,-78.52664576802522,42.5420092880159,16.45535268196254,8.735875538083251,2.818281459460798,-28.571428571428573,0.0
25,0.0,-76.48902821316614,43.59813547243132,15.858543720633556,9.21348969478086,2.709719075729429,-28.571428571428573,0.0
26,0.0,-71.15987460815043,46.37438142454681,14.276030797098885,15.594104409859035,2.7796474302683003,-28.571428571428573,0.0
27,0.0,-72.32142857142881,42.407375160520594,18.275022049255625,14.476878297730888,2.7998999244857328,-100.0,0.0
28,0.0,-63.83928571428599,45.58235884975009,17.30780226148626,13.710678228753977,2.730319176769197,-7.142857142857143,0.0
29,0.0,-53.12500000000022,49.37857812469072,16.443150335076016,14.597813509173175,2.650943466508745,-7.142857142857143,0.0
30,1.0,-37.50000000000029,54.377041434240084,14.481728775423328,17.826722270344302,2.76721039310914,-7.142857142857143,0.0
31,1.0,-50.89285714285707,49.83477538738363,13.064516147375475,17.369820926501575,2.868089314292937,-7.142857142857143,0.0
32,1.0,-58.25892857142889,47.48533787529034,12.67774818092398,16.85559673009157,2.7555885454469307,-7.142857142857143,0.0
33,0.0,-60.267857142857146,46.83680512965228,12.884201788258986,16.203963225630833,2.6640635787245914,-7.142857142857143,0.0
34,0.0,-54.079696394687026,45.716141246567624,18.760136184146877,14.668911321509315,2.7362799495987127,-57.142857142857146,0.0
35,0.0,-65.46489563567359,41.44445612427724,17.760028694053375,13.886908038582405,2.704059569298738,-57.142857142857146,0.0
36,0.0,-66.03415559772283,41.2369785361926,17.115580997764322,13.383001989318027,2.605953045054757,-57.142857142857146,0.0
37,0.0,-59.58254269449701,44.620699613233185,16.583044140317348,13.341470527052035,2.486088656378967,-57.142857142857146,0.0
38,0.0,-66.03415559772283,42.0152534171927,17.888519409556217,12.451721960514304,2.4835793547556917,-57.142857142857146,0.0
39,0.0,-54.64895635673628,47.80706553936608,17.11754583771353,11.915067789439568,2.3908491726362047,-57.142857142857146,0.0
40,0.0,-58.74263261296647,45.444346941817635,17.248321402042396,11.211841637445694,2.3675629636059523,-57.142857142857146,0.0
41,0.0,-57.760314341846666,45.94042410732382,16.75145181765287,10.888863942121722,2.2619093746568795,-21.42857142857143,0.0
42,0.0,-65.61886051080542,42.60290784092581,17.740825401191852,10.18472839456473,2.256657945421125,-21.42857142857143,0.0
43,0.0,-73.08447937131618,39.65550078889031,19.32765180265191,9.236388914538079,2.3212789115736987,-21.42857142857143,0.0
44,0.0,-69.54813359528497,41.71257215203034,18.59789601006876,8.887649792902508,2.2344764955279546,-21.42857142857143,0.0
45,0.0,-50.31250000000004,42.184233327984494,18.451133891860998,8.40896073360826,2.191433190499419,-21.42857142857143,0.0
46,0.0,-67.81249999999989,37.59727940554457,17.615873084196735,8.02829711829143,2.146789107896904,-7.142857142857143,0.0
47,0.0,-53.76344086021493,40.81505300652889,16.819774815847524,7.665481525608804,2.0803835237138935,-7.142857142857143,0.0
48,0.0,-73.19999999999985,38.12773974098441,15.884363992555572,8.618028731138384,2.054103747567251,28.571428571428573,0.0
49,0.0,-81.60000000000029,36.48161760101601,16.0820585533051,8.385592769444814,1.965544227241282,-35.714285714285715,0.0
50,0.0,-96.79300291545198,28.4258083027444,21.182164070393824,7.626144337607986,2.0409384156935246,-85.71428571428572,0.0
51,0.0,-83.33333333333314,29.34467548165237,22.10961170830083,7.153729179923753,2.018099387576222,-92.85714285714286,0.0
52,0.0,-76.8617021276593,32.286916217587745,20.374029635355143,9.429481404753187,2.0272221510509536,-92.85714285714286,0.0
53,0.0,-87.7697841726617,27.906708968149264,21.746191550989007,8.657884507952197,2.0711819198208685,-78.57142857142857,0.0
54,1.0,-21.403091557669402,66.58359959075521,15.36907618491149,29.821110624776974,2.5123075628320604,7.142857142857143,0.0
55,1.0,-32.23819301848043,74.52255440501955,10.988939538031726,38.3123816552087,3.132600265291103,14.285714285714286,0.0
56,1.0,-16.85731487055985,80.46308454693319,8.924156281417767,35.90689732156267,3.420614014784771,21.42857142857143,0.0
57,1.0,-17.917808219178035,81.82846804826917,7.116722361109473,32.01012048086288,3.92958829528445,28.571428571428573,0.0
58,1.0,-39.28767123287674,65.4168406600059,6.350914198021633,28.565611854303434,4.2773853181228585,28.571428571428573,0.0
59,1.0,-41.041095890410936,64.27769933798186,14.072782770759721,24.858774680965467,4.581138775726927,28.571428571428573,0.0
60,1.0,-54.68493150684934,56.09253900353307,13.312670343110375,23.516079076340805,4.633792347806647,28.571428571428573,0.0
61,1.0,-53.64383561643839,56.54723716640099,14.803168940982262,22.504548360823463,4.485680496190401,28.571428571428573,0.0
62,1.0,-49.58904109589038,58.35607380242489,14.094151762127929,24.001090220310513,4.335519979910571,28.571428571428573,0.0
63,1.0,-42.13698630136989,61.52594613403507,13.594536141765609,23.15028913755121,4.106115661389077,28.571428571428573,0.0
64,1.0,-41.91780821917808,61.61848368412276,12.56246788510825,27.334167136199127,4.12396826752927,28.571428571428573,0.0
65,1.0,-46.301369863013704,58.583608418998814,13.549832796262523,26.193571560400986,4.034514134826632,28.571428571428573,0.0
66,1.0,-50.90410958904114,55.493013198481144,13.810492567683024,24.730686110577793,4.0083320334729455,28.571428571428573,0.0
67,1.0,-21.01769911504426,67.54432651705888,12.203174431676667,28.85606315022865,3.9488354300306256,28.571428571428573,0.0
68,1.0,-40.17094017094017,61.53080406023259,11.479927817019279,27.145848312065823,3.9811081015453254,21.42857142857143,0.0
