"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 23, 2019","0.008910","0.008795","0.008974","0.008789","8.11K","1.31%"
"Jan 22, 2019","0.008795","0.008743","0.008890","0.008520","18.78K","0.60%"
"Jan 21, 2019","0.008743","0.008655","0.008784","0.008641","6.63K","1.02%"
"Jan 20, 2019","0.008655","0.008731","0.008978","0.008600","16.34K","-0.87%"
"Jan 19, 2019","0.008731","0.008555","0.008858","0.008555","13.09K","2.06%"
"Jan 18, 2019","0.008555","0.008680","0.008705","0.008491","9.17K","-1.44%"
"Jan 17, 2019","0.008680","0.008710","0.008750","0.008420","12.53K","-0.35%"
"Jan 16, 2019","0.008710","0.008665","0.008759","0.008580","9.18K","0.52%"
"Jan 15, 2019","0.008665","0.008748","0.008870","0.008526","14.08K","-0.95%"
"Jan 14, 2019","0.008748","0.008512","0.008868","0.008489","15.77K","2.77%"
"Jan 13, 2019","0.008512","0.008831","0.009061","0.008459","18.41K","-3.61%"
"Jan 12, 2019","0.008831","0.008735","0.008884","0.008689","12.26K","1.10%"
"Jan 11, 2019","0.008735","0.009170","0.009200","0.008680","28.21K","-4.74%"
"Jan 10, 2019","0.009170","0.009630","0.009735","0.008907","55.73K","-4.78%"
"Jan 09, 2019","0.009630","0.009788","0.009934","0.009613","21.74K","-1.61%"
"Jan 08, 2019","0.009788","0.009384","0.010090","0.009381","55.37K","4.31%"
"Jan 07, 2019","0.009384","0.009631","0.009749","0.009266","32.52K","-2.57%"
"Jan 06, 2019","0.009631","0.009111","0.010090","0.009033","70.81K","5.71%"
"Jan 05, 2019","0.009111","0.008390","0.009415","0.008385","45.92K","8.59%"
"Jan 04, 2019","0.008390","0.008334","0.008557","0.008277","11.83K","0.67%"
"Jan 03, 2019","0.008334","0.008451","0.008518","0.008210","8.62K","-1.70%"
"Jan 02, 2019","0.008478","0.008303","0.008575","0.008289","8.19K","2.11%"
"Jan 01, 2019","0.008303","0.008070","0.008460","0.008023","13.10K","2.88%"
