"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 27, 2019","0.031518","0.032354","0.032400","0.031518","6.15K","-2.58%"
"Jan 26, 2019","0.032354","0.032300","0.032532","0.032200","4.39K","0.17%"
"Jan 25, 2019","0.032300","0.032588","0.033000","0.032267","9.08K","-0.89%"
"Jan 24, 2019","0.032588","0.032760","0.032800","0.032250","5.74K","-0.52%"
"Jan 23, 2019","0.032760","0.033000","0.033155","0.032570","4.59K","-0.73%"
"Jan 22, 2019","0.033000","0.032779","0.033117","0.032224","11.50K","0.67%"
"Jan 21, 2019","0.032779","0.033205","0.033289","0.032424","18.57K","-1.28%"
"Jan 20, 2019","0.033205","0.033425","0.033510","0.033004","6.82K","-0.66%"
"Jan 19, 2019","0.033425","0.033168","0.033749","0.033124","7.56K","0.78%"
"Jan 18, 2019","0.033168","0.033650","0.033690","0.033000","8.75K","-1.43%"
"Jan 17, 2019","0.033650","0.033829","0.033959","0.032935","12.63K","-0.53%"
"Jan 16, 2019","0.033829","0.033520","0.034792","0.033305","18.28K","0.92%"
"Jan 15, 2019","0.033520","0.034980","0.035630","0.032812","23.95K","-4.17%"
"Jan 14, 2019","0.034980","0.032840","0.035483","0.032831","21.60K","6.52%"
"Jan 13, 2019","0.032840","0.034394","0.034465","0.032400","23.78K","-4.52%"
"Jan 12, 2019","0.034394","0.034580","0.034950","0.034162","22.02K","-0.54%"
"Jan 11, 2019","0.034580","0.034866","0.035287","0.033750","15.34K","-0.82%"
"Jan 10, 2019","0.034866","0.037340","0.037430","0.034200","46.38K","-6.62%"
"Jan 09, 2019","0.037340","0.037275","0.038136","0.037143","7.25K","0.17%"
"Jan 08, 2019","0.037275","0.037565","0.037735","0.036930","13.65K","-0.79%"
"Jan 07, 2019","0.037570","0.038550","0.038695","0.037300","22.71K","-2.54%"
"Jan 06, 2019","0.038550","0.040520","0.040691","0.038390","21.26K","-4.86%"
"Jan 05, 2019","0.040520","0.040130","0.041600","0.040130","23.58K","0.97%"
"Jan 04, 2019","0.040130","0.038785","0.040756","0.038469","32.68K","3.47%"
"Jan 03, 2019","0.038785","0.039380","0.039925","0.038198","33.87K","-1.51%"
"Jan 02, 2019","0.039380","0.036527","0.040000","0.036504","32.71K","7.81%"
"Jan 01, 2019","0.036527","0.035515","0.037570","0.035388","16.89K","2.85%"
"Dec 31, 2018","0.035515","0.036185","0.036300","0.035285","22.10K","-1.85%"
"Dec 30, 2018","0.036185","0.035890","0.036501","0.035085","25.25K","0.82%"
"Dec 29, 2018","0.035890","0.035325","0.037432","0.034305","33.04K","1.60%"
"Dec 28, 2018","0.035325","0.031892","0.035381","0.031550","30.37K","10.76%"
"Dec 27, 2018","0.031892","0.034210","0.034410","0.031490","29.33K","-6.77%"
"Dec 26, 2018","0.034210","0.034065","0.035380","0.033444","21.27K","0.43%"
"Dec 25, 2018","0.034065","0.034526","0.034676","0.032962","33.35K","-1.33%"
"Dec 24, 2018","0.034526","0.032802","0.037570","0.032750","93.01K","5.25%"
"Dec 23, 2018","0.032802","0.029185","0.033115","0.029155","66.91K","12.37%"
"Dec 22, 2018","0.029191","0.028040","0.029344","0.027784","17.15K","4.07%"
"Dec 21, 2018","0.028050","0.028135","0.028740","0.027521","35.39K","-0.30%"
"Dec 20, 2018","0.028135","0.026958","0.028600","0.026798","41.19K","4.37%"
"Dec 19, 2018","0.026958","0.027484","0.028235","0.026907","26.06K","-1.92%"
"Dec 18, 2018","0.027484","0.026830","0.027584","0.026442","16.07K","2.51%"
"Dec 17, 2018","0.026811","0.026240","0.027147","0.026105","16.28K","2.39%"
"Dec 16, 2018","0.026185","0.026090","0.026769","0.026078","7.53K","0.36%"
"Dec 15, 2018","0.026090","0.026000","0.026155","0.025885","9.17K","0.35%"
"Dec 14, 2018","0.026000","0.026124","0.026304","0.025865","13.34K","-0.47%"
"Dec 13, 2018","0.026124","0.025955","0.026556","0.025865","12.65K","0.73%"
"Dec 12, 2018","0.025935","0.025944","0.026300","0.025847","11.30K","-0.17%"
"Dec 11, 2018","0.025980","0.026175","0.026531","0.025715","17.40K","-0.74%"
"Dec 10, 2018","0.026175","0.026326","0.026448","0.025845","13.39K","-0.58%"
"Dec 09, 2018","0.026326","0.026477","0.027004","0.026132","13.80K","-0.57%"
"Dec 08, 2018","0.026477","0.027405","0.028500","0.025500","33.64K","-3.39%"
"Dec 07, 2018","0.027405","0.025989","0.027736","0.024434","84.41K","5.45%"
"Dec 06, 2018","0.025989","0.027240","0.027307","0.025512","45.21K","-4.60%"
"Dec 05, 2018","0.027241","0.027792","0.027869","0.027200","17.47K","-1.98%"
