,CROSS,W14,RSI,MDI,PDI,NATR,AROON,ACTION
0,0.0,-49.99999999999995,40.298507462686565,22.70742358078604,10.400952759031368,7.332826747720364,-92.85714285714286,0.0
1,0.0,-54.83870967741931,39.04338153503895,21.989800328463986,9.813582274469134,7.2662936142198795,-85.71428571428572,0.0
2,1.0,-41.93548387096772,42.87547109293562,20.151477299731276,15.681089304175288,7.169134571121679,-28.571428571428573,0.0
3,1.0,-21.05263157894734,52.51908475219301,17.70709505361723,19.052897318842838,7.074880619048991,28.571428571428573,0.0
4,1.0,-47.36842105263156,45.60916877495656,18.799872922160628,16.519619186570896,7.916159414294141,28.571428571428573,0.0
5,1.0,-52.63157894736835,44.35230983394789,17.763617390185466,15.609052033320179,7.841629284991794,28.571428571428573,0.0
6,1.0,-57.89473684210523,43.074005320377914,16.768247915327542,14.734411830023515,7.776908941462662,28.571428571428573,0.0
7,1.0,-57.89473684210523,43.074005320377914,15.732567518207553,14.339053200253481,7.677342497315633,28.571428571428573,0.0
8,1.0,-42.10526315789477,48.26220428891476,15.144933514662128,13.803468958878762,7.166209522621285,28.571428571428573,0.0
9,1.0,-31.57894736842101,51.4396712099966,13.943099368230277,16.94038208979781,7.061031896122251,28.571428571428573,0.0
10,1.0,-38.3333333333333,58.91272098399747,11.570042947318408,27.767415009344436,7.441933048741856,78.57142857142857,0.0
11,1.0,-44.99999999999996,55.56412519314632,10.763913312672775,24.743911236473092,7.881439753808926,78.57142857142857,0.0
12,1.0,-44.99999999999996,55.56412519314633,10.262493599026017,23.591255643076046,7.666911827143132,78.57142857142857,0.0
13,1.0,-57.40740740740741,52.12781371669827,10.626134198834214,22.25170122103464,7.687391620233279,78.57142857142857,0.0
14,1.0,-48.61111111111113,48.87282021724481,24.703132740561834,18.328884128064217,8.806074801910647,-28.571428571428573,0.0
15,1.0,-49.99999999999996,48.06478130088125,23.840979790422246,17.689195968277495,8.510334390558732,-28.571428571428573,0.0
16,1.0,-51.38888888888888,47.22394429317844,22.97737051651305,17.954020577711745,8.236019057561778,-28.571428571428573,0.0
17,1.0,-45.83333333333333,50.92233994804069,23.303890984087616,17.11923992928618,7.852946270968811,-28.571428571428573,0.0
18,0.0,-54.16666666666663,45.74404323481837,22.29899051300833,16.381031349388273,7.851803109917212,-28.571428571428573,0.0
19,0.0,-55.55555555555556,44.92408588773152,21.73816259972582,15.969042312318027,7.514945685558887,-28.571428571428573,0.0
20,0.0,-49.99999999999996,48.87193667969907,21.053869326519813,15.991002754039618,7.054411235843651,-28.571428571428573,0.0
21,0.0,-49.99999999999996,48.871936679699076,20.25286053461889,16.46963361895586,6.805626759814003,-28.571428571428573,0.0
22,1.0,-44.44444444444441,52.796093247828004,18.61822292031057,18.906879753936394,6.728834637145027,-28.571428571428573,0.0
23,0.0,-51.38888888888888,47.85205033501416,17.793369599302626,18.06923791122759,6.701454233178417,-28.571428571428573,0.0
24,0.0,-42.372881355932215,46.90598018677447,17.17865489295009,17.444992671188864,6.47576821837529,-28.571428571428573,0.0
25,0.0,-35.99999999999999,44.990158900035986,16.66206296938706,16.920391509065816,6.261862889413123,-21.42857142857143,0.0
26,0.0,-51.99999999999998,38.2587993314584,21.342034151003507,15.606325590677015,6.5720534829096104,-7.142857142857143,0.0
27,0.0,-73.33333333333336,30.81184197344795,27.043269627439802,13.906447150842983,7.317421898305559,-7.142857142857143,0.0
28,0.0,-64.86486486486481,40.211482820316654,25.03406995544189,12.873257398307306,6.969911351464574,57.142857142857146,0.0
29,0.0,-89.18918918918928,35.07916624361355,23.885450921496737,11.987879177504952,7.309053741692753,-35.714285714285715,0.0
